#,Channel Name,Channel ID,NOMBRE,SEGUIDORES,TP,PAÍS,TEMA DE INFLUENCIA,ALCANCE POTENCIAL,GUARDAR,INVITAR A LA CAMPAÑA,Channel Name (API),Subscribers,Total Views,Total Videos
26,Emily Tube ,UC-0D1RlSzcvBoODCKSoLl2g,Emily Tube @UC-0D1RlSzcvBoODCKSoLl2g,11M,-,संयुक्त अधिराज्य,,3.3M,,प्रोफ़ाइल देखें,Emily Tube,11000000,3819459737,718
27,Slogo ,UCHdMK5Ef2El8KbD3L_WgANg,Slogo @UCHdMK5Ef2El8KbD3L_WgANg,10.9M,-,संयुक्त अधिराज्य,,3.3M,,प्रोफ़ाइल देखें,Slogo,11800000,9396827352,7128
28,Jessie J ,UC4pEp0mo54WhEBCTYvjVDJA,Jessie J @UC4pEp0mo54WhEBCTYvjVDJA,10.4M,-,संयुक्त अधिराज्य,,3.1M,,प्रोफ़ाइल देखें,Jessie J,10800000,6278834650,266
29,Sing King ,UCwTRjvjVge51X-ILJ4i22ew,Sing King @UCwTRjvjVge51X-ILJ4i22ew,10.2M,-,संयुक्त अधिराज्य,,3.1M,,प्रोफ़ाइल देखें,Sing King,14100000,10590362436,5378
30,BBC News عربي ,UCelk6aHijZq-GJBBB9YpReA,BBC News عربي @UCelk6aHijZq-GJBBB9YpReA,10.1M,-,संयुक्त अधिराज्य,,3M,,प्रोफ़ाइल देखें,BBC News ????,12800000,5606177214,46348
31,Classic Mr Bean ,UCEwIUtFBhaI2L2PuKv0KL2g,Classic Mr Bean @UCEwIUtFBhaI2L2PuKv0KL2g,9.9M,-,संयुक्त अधिराज्य,,3M,,प्रोफ़ाइल देखें,Classic Mr Bean,10900000,3581585158,2327
32,Syndicate ,UC1ieoHqKW-yYgDhLHIcx28w,Syndicate @UC1ieoHqKW-yYgDhLHIcx28w,9.7M,-,संयुक्त अधिराज्य,,2.9M,,प्रोफ़ाइल देखें,Syndicate,9560000,2143419171,3551
33,Gorillaz ,UCfIXdjDQH9Fau7y99_Orpjw,Gorillaz @UCfIXdjDQH9Fau7y99_Orpjw,9.4M,0.001,संयुक्त अधिराज्य,,2.8M,,प्रोफ़ाइल देखें,Gorillaz,12600000,7203644209,426
34,Woody & Kleiny ,UCoGForHQAmk0_9rI9CABeYw,Woody & Kleiny @UCoGForHQAmk0_9rI9CABeYw,9.4M,0.011,संयुक्त अधिराज्य,,2.8M,,प्रोफ़ाइल देखें,Woody & Kleiny,15900000,15679754941,1590
35,Jungle Beat ,UChUHOEe7zgYmrv7a_LlpNng,Jungle Beat @UChUHOEe7zgYmrv7a_LlpNng,9.3M,-,संयुक्त अधिराज्य,यात्रा,2.8M,,प्रोफ़ाइल देखें,Jungle Beat,13000000,6861022751,1129
36,Julius Dein ,UCCNaMMlI3cOc7yFg52riTqg,Julius Dein @UCCNaMMlI3cOc7yFg52riTqg,9.2M,-,संयुक्त अधिराज्य,,2.8M,,प्रोफ़ाइल देखें,Julius Dein,9270000,2635569985,392
37,The X Factor UK ,UCEY1ejsweY4DgMwOVJeEaBA,The X Factor UK @UCEY1ejsweY4DgMwOVJeEaBA,9.1M,0.001,संयुक्त अधिराज्य,,2.7M,,प्रोफ़ाइल देखें,The X Factor UK,9240000,7144090534,5744
38,English with Lucy ,UCz4tgANd4yy8Oe0iXCdSWfA,English with Lucy @UCz4tgANd4yy8Oe0iXCdSWfA,9M,-,संयुक्त अधिराज्य,,2.7M,,प्रोफ़ाइल देखें,English with Lucy,12800000,581978553,432
39,Shaun the Sheep ,UCS7H8U-n5mINVJjJsaRtGHg,Shaun the Sheep @UCS7H8U-n5mINVJjJsaRtGHg,8.9M,-,संयुक्त अधिराज्य,,2.7M,,प्रोफ़ाइल देखें,Shaun the Sheep Official,13400000,7535744419,1297
40,Cartoons for Kids ,UC977n5nXRn8MDuGQjwxkOLw,Cartoons for Kids @UC977n5nXRn8MDuGQjwxkOLw,8.7M,-,संयुक्त अधिराज्य,,2.6M,,प्रोफ़ाइल देखें,Cartoons for Kids,9130000,3552913868,2948
41,Mumbo Jumbo ,UChFur_NwVSbUozOcF_F2kMg,Mumbo Jumbo @UChFur_NwVSbUozOcF_F2kMg,8.5M,0.017,संयुक्त अधिराज्य,भिडियो गेमिङ,2.6M,,प्रोफ़ाइल देखें,Mumbo Jumbo,9640000,3312659189,2165
42,Top Gear ,UCjOl2AUblVmg2rA_cRgZkFg,Top Gear @UCjOl2AUblVmg2rA_cRgZkFg,8.4M,-,संयुक्त अधिराज्य,,2.5M,,प्रोफ़ाइल देखें,Top Gear,9410000,4098538625,1801
43,Moonbug Kids - Kids Learning Videos ,UC1QqdFv5e9QSEi0eYdfwuqw,Moonbug Kids - Kids Learning Videos @UC1QqdFv5e9QSEi0eYdfwuqw,8.3M,-,संयुक्त अधिराज्य,,2.5M,,प्रोफ़ाइल देखें,Moonbug Kids - Kids Learning Videos,14800000,10721905757,2232
44,BBC Radio 1 ,UC-FQUIVQ-bZiefzBiQAa8Fw,BBC Radio 1 @UC-FQUIVQ-bZiefzBiQAa8Fw,8.1M,-,संयुक्त अधिराज्य,,2.4M,,प्रोफ़ाइल देखें,BBC Radio 1,8470000,4001077860,4322
45,Liverpool FC ,UC9LQwHZoucFT94I2h6JOcjw,Liverpool FC @UC9LQwHZoucFT94I2h6JOcjw,8M,-,संयुक्त अधिराज्य,,2.4M,,प्रोफ़ाइल देखें,Liverpool FC,11900000,3957608763,9022
46,Grian ,UCR9Gcq0CMm6YgTzsDxAxjOQ,Grian @UCR9Gcq0CMm6YgTzsDxAxjOQ,7.8M,0.018,संयुक्त अधिराज्य,,2.3M,,प्रोफ़ाइल देखें,Grian,8770000,2696235825,814
47,Daz Games ,UCDBCCMlFD-hArPbWv38FINA,Daz Games @UCDBCCMlFD-hArPbWv38FINA,7.6M,0.003,संयुक्त अधिराज्य,,2.3M,,प्रोफ़ाइल देखें,Daz Games,9300000,3125839102,1692
48,Vikkstar123 ,UCvwgF_0NOZe2vN4Q3g1bY-A,Vikkstar123 @UCvwgF_0NOZe2vN4Q3g1bY-A,7.6M,-,संयुक्त अधिराज्य,,2.3M,,प्रोफ़ाइल देखें,Vikkstar123,7570000,2182299803,5116
49,PlayToys ,UCHFA6Nt11kE_8OWIya0SQDQ,PlayToys @UCHFA6Nt11kE_8OWIya0SQDQ,7.6M,-,संयुक्त अधिराज्य,,2.3M,,प्रोफ़ाइल देखें,PlayToys,8060000,3162137159,1015
50,carwow ,UCUhFaUpnq31m6TNX2VKVSVA,carwow @UCUhFaUpnq31m6TNX2VKVSVA,7.5M,0.002,संयुक्त अधिराज्य,,2.2M,,प्रोफ़ाइल देखें,carwow,10600000,5032110493,3251
51,Jeremy Lynch ,UC5Y1pPVNm-odhiubuRO1D6A,Jeremy Lynch @UC5Y1pPVNm-odhiubuRO1D6A,7.4M,-,संयुक्त अधिराज्य,,2.2M,,प्रोफ़ाइल देखें,Jeremy Lynch,13100000,7499353621,1161
52,TomSka ,UCOYWgypDktXdb-HfZnSMK6A,TomSka @UCOYWgypDktXdb-HfZnSMK6A,7.2M,0.022,संयुक्त अधिराज्य,,2.2M,,प्रोफ़ाइल देखें,TomSka,7460000,2154487823,180
53,YOGSCAST Lewis & Simon ,UCH-_hzb2ILSCo9ftVSnrCIQ,YOGSCAST Lewis & Simon @UCH-_hzb2ILSCo9ftVSnrCIQ,7.1M,-,संयुक्त अधिराज्य,समाचारहरू,2.1M,,प्रोफ़ाइल देखें,The Yogscast,7060000,4671790221,7375
54,LDShadowLady ,UCzTlXb7ivVzuFlugVCv3Kvg,LDShadowLady @UCzTlXb7ivVzuFlugVCv3Kvg,7M,-,संयुक्त अधिराज्य,भिडियो गेमिङ,2.1M,,प्रोफ़ाइल देखें,LDShadowLady,7410000,3599380367,1096
55,The Beatles ,UCc4K7bAqpdBP8jh1j9XZAww,The Beatles @UCc4K7bAqpdBP8jh1j9XZAww,6.9M,0.001,संयुक्त अधिराज्य,,2.1M,,प्रोफ़ाइल देखें,The Beatles,9220000,8558005773,396
56,Passenger ,UCFHtCB_FWXQ8GpjgfYcD8-g,Passenger @UCFHtCB_FWXQ8GpjgfYcD8-g,6.9M,-,संयुक्त अधिराज्य,,2.1M,,प्रोफ़ाइल देखें,Passenger,7800000,5070008501,415
57,MessYourself ,UCrSgaO6xOY8YV1EoCbD51HA,MessYourself @UCrSgaO6xOY8YV1EoCbD51HA,6.9M,-,संयुक्त अधिराज्य,,2.1M,,प्रोफ़ाइल देखें,MessYourself,6890000,2595503769,1069
58,MoreSidemen ,UCh5mLn90vUaB1PbRRx_AiaA,MoreSidemen @UCh5mLn90vUaB1PbRRx_AiaA,6.8M,0.006,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,MoreSidemen,9430000,5686790656,1361
59,Boomerang UK ,UCmst562fALOY2cKb4IFgqEg,Boomerang UK @UCmst562fALOY2cKb4IFgqEg,6.8M,-,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,Boomerang UK,8360000,4497757490,3008
60,James Arthur ,UCV5Gw7GGOMxe6SSF6llp_3Q,James Arthur @UCV5Gw7GGOMxe6SSF6llp_3Q,6.8M,-,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,James Arthur,7760000,5178402321,304
61,ARPO The Robot ,UCrSx8rek9EuC3YGHvG8aalw,ARPO The Robot @UCrSx8rek9EuC3YGHvG8aalw,6.7M,-,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,ARPO The Robot,7920000,3545496783,1763
62,24 News HD ,UCcmpeVbSSQlZRvHfdC-CRwg,24 News HD @UCcmpeVbSSQlZRvHfdC-CRwg,6.7M,-,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,24 News HD,9300000,4223763711,210547
63,RubyandBonnie ,UC_wITz-Ze4JFc3WLQA1n3Hw,RubyandBonnie @UC_wITz-Ze4JFc3WLQA1n3Hw,6.6M,-,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,RubyandBonnie,10000000,6490768828,749
64,Nickelodeon UK ,UCHiceVclOIFCgAcveITRLLw,Nickelodeon UK @UCHiceVclOIFCgAcveITRLLw,6.6M,-,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,Nickelodeon UK,7650000,8198044119,3601
65,Mark Ronson ,UCSY5V7BJSrxNvvBF0Drslow,Mark Ronson @UCSY5V7BJSrxNvvBF0Drslow,6.5M,-,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,Mark Ronson,7170000,7221131104,20
66,Rhia Official ,UCQdsJ95w9jh-yB0BA6EDGWA,Rhia Official @UCQdsJ95w9jh-yB0BA6EDGWA,6.4M,-,संयुक्त अधिराज्य,,1.9M,,प्रोफ़ाइल देखें,Rhia Official,15200000,7644831067,1157
67,UKF Dubstep ,UCfLFTP1uTuIizynWsZq2nkQ,UKF Dubstep @UCfLFTP1uTuIizynWsZq2nkQ,6.3M,-,संयुक्त अधिराज्य,,1.9M,,प्रोफ़ाइल देखें,UKF Dubstep,6230000,2170310795,1963
68,TGFbro ,UCOgUcv_9DaivXzsN9mcHIzQ,TGFbro @UCOgUcv_9DaivXzsN9mcHIzQ,6.2M,0.009,संयुक्त अधिराज्य,,1.9M,,प्रोफ़ाइल देखें,TGFbro,6140000,1487819423,470
69,Wilbur Soot ,UC1n_PfsVqxllCcnMPlxBIjw,Wilbur Soot @UC1n_PfsVqxllCcnMPlxBIjw,6.2M,0.026,संयुक्त अधिराज्य,,1.9M,,प्रोफ़ाइल देखें,Wilbur Soot,5340000,806623793,140
70,Russell Brand ,UCswH8ovgUp5Bdg-0_JTYFNw,Russell Brand @UCswH8ovgUp5Bdg-0_JTYFNw,6.2M,-,संयुक्त अधिराज्य,,1.9M,,प्रोफ़ाइल देखें,Russell Brand,6760000,1612178035,4877
71,Manchester United ,UC6yW44UGJJBvYTlfC7CRg2Q,Manchester United @UC6yW44UGJJBvYTlfC7CRg2Q,6.2M,0.002,संयुक्त अधिराज्य,,1.9M,,प्रोफ़ाइल देखें,Manchester United,10500000,3117922682,5613
72,Pingu - Official Channel ,UCM88mtSE0zRTn5ae4EbYcuw,Pingu - Official Channel @UCM88mtSE0zRTn5ae4EbYcuw,6.2M,-,संयुक्त अधिराज्य,,1.8M,,प्रोफ़ाइल देखें,Pingu - Official Channel,7470000,3091487190,724
73,Mrwhosetheboss Shorts ,UCZSlfzadjnw7G419c_OJ9eg,Mrwhosetheboss Shorts @UCZSlfzadjnw7G419c_OJ9eg,6.1M,-,संयुक्त अधिराज्य,,1.8M,,प्रोफ़ाइल देखें,Mrwhosetheboss Plus,7000000,3852326128,186
74,Niko Omilana ,UCdcUmdOxMrhRjKMw-BX19AA,Niko Omilana @UCdcUmdOxMrhRjKMw-BX19AA,6M,0.162,संयुक्त अधिराज्य,,1.8M,,प्रोफ़ाइल देखें,Niko Omilana,8200000,706797372,146
75,Tiana Wilson ,UC7_yh9PEDpaqp34QtGO-_Yw,Tiana Wilson @UC7_yh9PEDpaqp34QtGO-_Yw,5.9M,-,संयुक्त अधिराज्य,,1.8M,,प्रोफ़ाइल देखें,The Wilsons,5810000,1655558727,414
76,Capital FM ,UCZzwjZPc6R_PbnDgFVMwlvQ,Capital FM @UCZzwjZPc6R_PbnDgFVMwlvQ,5.8M,-,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,Capital FM,6420000,3942742174,3344
77,Simon's Cat ,UCH6vXjt-BA7QHl0KnfL-7RQ,Simon's Cat @UCH6vXjt-BA7QHl0KnfL-7RQ,5.8M,0.003,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,Simon's Cat,6460000,1702977998,663
78,CGP Grey ,UC2C_jShtL725hvbm1arSV9w,CGP Grey @UC2C_jShtL725hvbm1arSV9w,5.8M,-,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,CGP Grey,6850000,1173857130,196
79,Jamie Oliver ,UCpSgg_ECBj25s9moCDfSTsA,Jamie Oliver @UCpSgg_ECBj25s9moCDfSTsA,5.8M,-,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,Jamie Oliver,6120000,1040508219,2529
80,ChrisMD ,UCQ-YJstgVdAiCT52TiBWDbg,ChrisMD @UCQ-YJstgVdAiCT52TiBWDbg,5.6M,0.022,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,ChrisMD,6300000,1684624818,531
81,Dumori Bay ,UC-VDfQNL-S44eZscGlXI14g,Dumori Bay @UC-VDfQNL-S44eZscGlXI14g,5.6M,-,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,Dumori Bay,5240000,1146657,225
82,Space Videos ,UCakgsb0w7QB0VHdnCc-OVEA,Space Videos @UCakgsb0w7QB0VHdnCc-OVEA,5.5M,-,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,Space Videos,5520000,31242526,242
83,Real Stories ,UCu4XcDBdnZkV6-5z2f16M0g,Real Stories @UCu4XcDBdnZkV6-5z2f16M0g,5.5M,-,संयुक्त अधिराज्य,प्रसिद्धि,1.7M,,प्रोफ़ाइल देखें,Real Stories,6630000,1058981707,1218
84,More Emily ,UCO66lK14MYiXlu0A6pQ4ouA,More Emily @UCO66lK14MYiXlu0A6pQ4ouA,5.4M,-,संयुक्त अधिराज्य,,1.6M,,प्रोफ़ाइल देखें,More Emily,5210000,1474154010,610
85,GRM Daily ,UCqTwKvjbTENZDGbz2si47ag,GRM Daily @UCqTwKvjbTENZDGbz2si47ag,5.3M,-,संयुक्त अधिराज्य,,1.6M,,प्रोफ़ाइल देखें,GRM Daily,6660000,8155782608,15479
86,Joe Weller ,UCLk9wddjT0F-HILLRFXodtg,Joe Weller @UCLk9wddjT0F-HILLRFXodtg,5.3M,0.019,संयुक्त अधिराज्य,,1.6M,,प्रोफ़ाइल देखें,Joe Weller,5330000,1032667717,334
87,WildBrain Kids ,UCbmWOFTbZoDLWqG1rvFnJ0g,WildBrain Kids @UCbmWOFTbZoDLWqG1rvFnJ0g,5.2M,-,संयुक्त अधिराज्य,प्रसिद्धि,1.6M,,प्रोफ़ाइल देखें,WildBrain Kids,11900000,5813764018,5584
88,Sky News ,UCoMdktPbSTixAyNGwb-UYkQ,Sky News @UCoMdktPbSTixAyNGwb-UYkQ,5.2M,-,संयुक्त अधिराज्य,,1.5M,,प्रोफ़ाइल देखें,Sky News,8990000,5440993696,68322
89,Jarvis ,UCvxfEIG3PHpgM0TMJJ_SH-w,Jarvis @UCvxfEIG3PHpgM0TMJJ_SH-w,5M,0.008,संयुक्त अधिराज्य,,1.5M,,प्रोफ़ाइल देखें,Jarvis,5690000,1755396876,809
90,Thoughty2 ,UCRlICXvO4XR4HMeEB9JjDlA,Thoughty2 @UCRlICXvO4XR4HMeEB9JjDlA,5M,-,संयुक्त अधिराज्य,,1.5M,,प्रोफ़ाइल देखें,Thoughty2,5660000,1146127159,937
91,TheDadLab ,UCc_-hy0u9-oKlNdMKHBudcQ,TheDadLab @UCc_-hy0u9-oKlNdMKHBudcQ,5M,-,संयुक्त अधिराज्य,,1.5M,,प्रोफ़ाइल देखें,TheDadLab,5160000,3071862386,853
92,Behzinga ,UCHhfSXoDG6gSgpOvLH4wrRw,Behzinga @UCHhfSXoDG6gSgpOvLH4wrRw,4.9M,-,संयुक्त अधिराज्य,,1.5M,,प्रोफ़ाइल देखें,Behzinga,4920000,584882499,872
93,BBC Learning English ,UCHaHD477h-FeBbVh9Sh7syA,BBC Learning English @UCHaHD477h-FeBbVh9Sh7syA,4.8M,-,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,BBC Learning English,9060000,440705527,4109
94,Max and Katy ,UCvZwcK22QTUaM18KE7mHeNw,Max and Katy @UCvZwcK22QTUaM18KE7mHeNw,4.8M,-,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,Max and Katy,4640000,1318322908,510
95,Man City ,UCkzCjdRMrW2vXLx8mvPVLdQ,Man City @UCkzCjdRMrW2vXLx8mvPVLdQ,4.8M,-,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,Man City,8800000,2697187705,9738
96,Wisp ,UC0h07r_UgTD0Tc-Dn5XLX3g,Wisp @UC0h07r_UgTD0Tc-Dn5XLX3g,4.7M,0.011,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,Wisp,5640000,1270037864,608
97,WillNE ,UCaFUrR3oSxOl5Y9y6tvLTEg,WillNE @UCaFUrR3oSxOl5Y9y6tvLTEg,4.7M,0.024,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,WillNE,5250000,918669897,317
98,Zerkaa ,UChntGq8THlUokhc1tT-M2wA,Zerkaa @UChntGq8THlUokhc1tT-M2wA,4.7M,0.023,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,Zerkaa,4690000,890652114,2030
99,Ben Phillips ,UChoQQRDf-zU1h6_YjKkWvdw,Ben Phillips @UChoQQRDf-zU1h6_YjKkWvdw,4.6M,-,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,Ben Phillips,4500000,1296449778,877
100,Roxxsaurus ,UCBKFH7bU2ebvO68FtuGjyyw,Roxxsaurus @UCBKFH7bU2ebvO68FtuGjyyw,4.5M,-,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,Roxxsaurus,4540000,559585046,1083
